Image Name,Total Words,Recognized,Correctly Recognized,Word Recognition rate,English,Recognised,Hindi,Recognised.1,Assameses,Recognised.2,Bengoli ,Recognised.3
img1,18.0,17.0,17.0,0.9444444444444444,7.0,7.0,11.0,10.0,,,,
img2,5.0,5.0,4.0,0.8,2.0,1.0,3.0,3.0,,,,
img3,16.0,16.0,13.0,0.8125,15.0,12.0,1.0,1.0,,,,
img4,12.0,12.0,12.0,1.0,10.0,10.0,2.0,2.0,,,,
Img5,30.0,28.0,22.0,0.7857142857142857,7.0,2.0,23.0,20.0,,,,
Img6,,,,,,,0.0,,,,,
Img7,20.0,19.0,18.0,0.9,11.0,11.0,9.0,7.0,,,,
img8,58.0,53.0,46.0,0.7931034482758621,11.0,11.0,47.0,35.0,,,,
img9,35.0,34.0,33.0,0.9428571428571428,18.0,16.0,17.0,17.0,,,,
img10,34.0,32.0,25.0,0.7352941176470589,28.0,19.0,6.0,6.0,,,,
img11,22.0,22.0,18.0,0.8181818181818182,22.0,18.0,,,,,,
img12,29.0,27.0,25.0,0.8620689655172413,20.0,16.0,9.0,9.0,,,,
img13,45.0,39.0,35.0,0.7777777777777778,5.0,4.0,40.0,31.0,,,,
img14,39.0,31.0,26.0,0.6666666666666666,39.0,26.0,,,,,,
img15,24.0,22.0,9.0,0.375,18.0,4.0,6.0,5.0,,,,
img16,31.0,30.0,26.0,0.8387096774193549,16.0,15.0,15.0,11.0,,,,
img17,,,,,,,,,,,,
img18,46.0,41.0,35.0,0.7608695652173914,16.0,11.0,30.0,24.0,,,,
img19,39.0,25.0,22.0,0.5641025641025641,10.0,8.0,29.0,14.0,,,,
img20,28.0,27.0,27.0,0.9642857142857143,28.0,27.0,,,,,,
img21,12.0,12.0,12.0,1.0,8.0,8.0,4.0,4.0,,,,
img22,15.0,11.0,9.0,0.6428571428571429,1.0,1.0,14.0,8.0,,,,
img23,7.0,7.0,7.0,1.0,5.0,5.0,2.0,2.0,,,,
img24,7.0,7.0,7.0,1.0,5.0,5.0,2.0,2.0,,,,
img25,31.0,18.0,15.0,0.4838709677419355,3.0,1.0,28.0,14.0,,,,
img26,26.0,14.0,11.0,0.4230769230769231,1.0,1.0,25.0,10.0,,,,
img27,16.0,9.0,9.0,0.5625,,,16.0,9.0,,,,
img28,14.0,12.0,9.0,0.6428571428571429,5.0,3.0,9.0,6.0,,,,
img29,4.0,4.0,2.0,0.5,4.0,2.0,,,,,,
img30,28.0,25.0,25.0,0.8928571428571429,17.0,14.0,11.0,11.0,,,,
img31,17.0,16.0,14.0,0.8235294117647058,14.0,11.0,3.0,3.0,,,,
img32,9.0,7.0,7.0,0.7777777777777778,9.0,7.0,,,,,,
img33,,,,,,,,,,,,
img34,15.0,11.0,10.0,0.6666666666666666,15.0,10.0,,,,,,
img35,13.0,13.0,9.0,0.6923076923076923,11.0,9.0,2.0,0.0,,,,
img36,15.0,15.0,15.0,1.0,15.0,15.0,,,,,,
img37,12.0,10.0,10.0,0.8333333333333334,12.0,10.0,,,,,,
img38,8.0,8.0,7.0,0.875,4.0,4.0,4.0,3.0,,,,
img39,5.0,5.0,5.0,1.0,5.0,5.0,,,,,,
img40,5.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,,,,
img41,,,,,,,,,,,,
img42,23.0,16.0,12.0,0.5217391304347826,23.0,12.0,,,,,,
img43,19.0,19.0,19.0,1.0,1.0,1.0,18.0,18.0,,,,
img44,22.0,20.0,19.0,0.8636363636363636,6.0,4.0,16.0,15.0,,,,
img45,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,
img46,20.0,17.0,16.0,0.8,1.0,1.0,19.0,15.0,,,,
img47,3.0,3.0,1.0,0.3333333333333333,1.0,1.0,,,1.0,0.0,1.0,0.0
img48,9.0,7.0,3.0,0.3333333333333333,4.0,2.0,5.0,1.0,,,,
img49,12.0,10.0,7.0,0.5833333333333334,5.0,2.0,7.0,5.0,,,,
img50,4.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,,,,
,,,,,,,,,,,,
TOTAL,904.0,787.0,684.0,,462.0,356.0,440.0,328.0,1.0,0.0,1.0,0.0
Word Recognition rate=0.756637,,,,,,,,,,,,
